UF,MUNICIPIO,ID_IBGE,POPULACAO_TOTAL
TO,Dois Irmãos do Tocantins,1707207,6352
RS,Dois Lajeados,4306452,3156
AL,Dois Riachos,2702504,9898
PR,Dois Vizinhos,4107207,47589
SP,Dolcinópolis,3514205,2254
MT,Dom Aquino,5103601,7890
BA,Dom Basílio,2910107,12329
MG,Dom Bosco,3122470,3763
MG,Dom Cavati,3122504,4967
PA,Dom Eliseu,1502939,62823
PI,Dom Expedito Lopes,2203404,6410
RS,Dom Feliciano,4306502,13280
PI,Dom Inocêncio,2203453,9332
MG,Dom Joaquim,3122603,5074
BA,Dom Macedo Costa,2910206,4608
RS,Dom Pedrito,4306601,38080
MA,Dom Pedro,2103802,23594
RS,Dom Pedro de Alcântara,4306551,2617
MG,Dom Silvério,3122702,5355
MG,Dom Viçoso,3122801,3184
ES,Domingos Martins,3201902,38236
PI,Domingos Mourão,2203420,4129
SC,Dona Emma,4205100,4435
MG,Dona Euzébia,3122900,6250
RS,Dona Francisca,4306700,3133
PB,Dona Inês,2505709,10638
MG,Dores de Campos,3123007,10359
MG,Dores de Guanhães,3123106,5114
MG,Dores do Indaiá,3123205,12730
ES,Dores do Rio Preto,3202009,6902
MG,Dores do Turvo,3123304,5192
MG,Doresópolis,3123403,1498
PE,Dormentes,2605152,17850
PR,Douradina,4107256,9631
MS,Douradina,5003504,5768
SP,Dourado,3514304,8169
MG,Douradoquara,3123502,1869
MS,Dourados,5003702,264017
PR,Doutor Camargo,4107306,6517
RS,Doutor Maurício Cardoso,4306734,4534
SC,Doutor Pedrinho,4205159,3729
RS,Doutor Ricardo,4306759,1924
RN,Doutor Severiano,2403202,7262
PR,Doutor Ulysses,4128633,5744
GO,Doverlândia,5207253,6823
SP,Dracena,3514403,46735
SP,Duartina,3514502,12532
RJ,Duas Barras,3301603,11355
PB,Duas Estradas,2505808,3360
TO,Dueré,1707306,4304
SP,Dumont,3514601,9764
MA,Duque Bacelar,2103901,10443
RJ,Duque de Caxias,3301702,866225
MG,Durandé,3123528,8065
SP,Echaporã,3514700,6291
ES,Ecoporanga,3202108,22611
GO,Edealina,5207352,4104
GO,Edéia,5207402,11982
AM,Eirunepé,1301407,35793
MS,Eldorado,5003751,11622
SP,Eldorado,3514809,13109
PA,Eldorado do Carajás,1502954,29287
RS,Eldorado do Sul,4306767,41012
PI,Elesbão Veloso,2203503,13743
SP,Elias Fausto,3514908,18168
PI,Eliseu Martins,2203602,4421
SP,Elisiário,3514924,3190
BA,Elísio Medrado,2910305,8069
MG,Elói Mendes,3123601,27429
PB,Emas,2505907,3036
SP,Embaúba,3514957,2349
SP,Embu das Artes,3515004,259788
SP,Embu-Guaçu,3515103,68913
SP,Emilianópolis,3515129,3061
RS,Encantado,4306809,23520
RN,Encanto,2403301,6289
BA,Encruzilhada,2910404,19450
RS,Encruzilhada do Sul,4306908,24275
PR,Enéas Marques,4107405,6146
PR,Engenheiro Beltrão,4107504,12347
MG,Engenheiro Caldas,3123700,14501
SP,Engenheiro Coelho,3515152,20261
MG,Engenheiro Navarro,3123809,6373
RJ,Engenheiro Paulo de Frontin,3301801,12644
RS,Engenho Velho,4306924,1315
MG,Entre Folhas,3123858,5295
BA,Entre Rios,2910503,39890
SC,Entre Rios,4205175,3561
MG,Entre Rios de Minas,3123908,15157
PR,Entre Rios do Oeste,4107538,4770
RS,Entre Rios do Sul,4306957,2727
RS,Entre-Ijuís,4306932,9367
AM,Envira,1301506,17985
AC,Epitaciolândia,1200252,19874
RN,Equador,2403400,5461
RS,Erebango,4306973,3122
RS,Erechim,4307005,109609
CE,Ereré,2304277,6381
BA,Érico Cardoso,2900504,10947
SC,Ermo,4205191,2354
RS,Ernestina,4307054,3097
RS,Erval Grande,4307203,5027
RS,Erval Seco,4307302,6892
SC,Erval Velho,4205209,5137
MG,Ervália,3124005,21091
PE,Escada,2605202,62174
RS,Esmeralda,4307401,3264
MG,Esmeraldas,3124104,93103
MG,Espera Feliz,3124203,24844
PB,Esperança,2506004,32599
RS,Esperança do Sul,4307450,3293
PR,Esperança Nova,4107520,1852
PI,Esperantina,2203701,42710
TO,Esperantina,1707405,7385
MA,Esperantinópolis,2104008,18734
PR,Espigão Alto do Iguaçu,4107546,4880
RO,Espigão D'Oeste,1100098,32842
MG,Espinosa,3124302,31375
RN,Espírito Santo,2403509,10951
MG,Espírito Santo do Dourado,3124401,7132
SP,Espírito Santo do Pinhal,3515186,40610
SP,Espírito Santo do Turvo,3515194,4214
BA,Esplanada,2910602,34163
RS,Espumoso,4307500,15478
RS,Estação,4307559,5685
SE,Estância,2802106,67060
RS,Estância Velha,4307609,49499
RS,Esteio,4307708,78144
MG,Estiva,3124500,11880
SP,Estiva Gerbi,3557303,11609
MA,Estreito,2104057,34321
RS,Estrela,4307807,33263
MG,Estrela Dalva,3124609,2189
AL,Estrela de Alagoas,2702553,15688
MG,Estrela do Indaiá,3124708,2711
GO,Estrela do Norte,5207501,3214
SP,Estrela do Norte,3515301,2751
MG,Estrela do Sul,3124807,6897
SP,Estrela d'Oeste,3515202,9696
RS,Estrela Velha,4307815,3115
BA,Euclides da Cunha,2910701,64768
SP,Euclides da Cunha Paulista,3515350,7883
RS,Eugênio de Castro,4307831,2683
MG,Eugenópolis,3124906,11096
BA,Eunápolis,2910727,121067
CE,Eusébio,2304285,82016
MG,Ewbank da Câmara,3125002,3986
MG,Extrema,3125101,59336
RN,Extremoz,2403608,68584
PE,Exu,2605301,33486
PB,Fagundes,2506103,11307
RS,Fagundes Varela,4307864,2620
GO,Faina,5207535,7167
MG,Fama,3125200,2676
MG,Faria Lemos,3125309,3230
CE,Farias Brito,2304301,18498
PA,Faro,1503002,9167
PR,Farol,4107553,2994
RS,Farroupilha,4307906,72552
SP,Fartura,3515400,17029
PI,Fartura do Piauí,2203750,5426
TO,Fátima,1707553,3503
BA,Fátima,2910750,18480
MS,Fátima do Sul,5003801,21504
PR,Faxinal,4107603,16596
RS,Faxinal do Soturno,4308003,6846
SC,Faxinal dos Guedes,4205308,11537
RS,Faxinalzinho,4308052,2572
GO,Fazenda Nova,5207600,5842
PR,Fazenda Rio Grande,4107652,165943
RS,Fazenda Vilanova,4308078,4405
AC,Feijó,1200302,37764
BA,Feira da Mata,2910776,5831
BA,Feira de Santana,2910800,660806
AL,Feira Grande,2702603,23204
SE,Feira Nova,2802205,6358
PE,Feira Nova,2605400,22222
MA,Feira Nova do Maranhão,2104073,8237
MG,Felício dos Santos,3125408,5251
RN,Felipe Guerra,2403707,6472
MG,Felisburgo,3125606,6575
MG,Felixlândia,3125705,14280
RS,Feliz,4308102,13994
AL,Feliz Deserto,2702702,4035
MT,Feliz Natal,5103700,10523
PR,Fênix,4107702,4488
PR,Fernandes Pinheiro,4107736,6400
MG,Fernandes Tourinho,3125804,2814
PE,Fernando de Noronha,2605459,3341
MA,Fernando Falcão,2104081,11219
RN,Fernando Pedroza,2403756,3035
SP,Fernando Prestes,3515608,6080
SP,Fernandópolis,3515509,73508
SP,Fernão,3515657,1692
SP,Ferraz de Vasconcelos,3515707,186479
AP,Ferreira Gomes,1600238,7184
PE,Ferreiros,2605509,15955
MG,Ferros,3125903,9603
MG,Fervedouro,3125952,10705
PR,Figueira,4107751,8129
MS,Figueirão,5003900,3751
TO,Figueirópolis,1707652,5334
MT,Figueirópolis D'Oeste,5103809,3056
TO,Filadélfia,1707702,7784
BA,Filadélfia,2910859,18637
BA,Firmino Alves,2910909,4993
GO,Firminópolis,5207808,10274
AL,Flexeiras,2702801,9745
PR,Flor da Serra do Sul,4107850,4342
SC,Flor do Sertão,4205357,1868
SP,Flora Rica,3515806,1483
PR,Floraí,4107801,4805
RN,Florânia,2403806,10556
SP,Floreal,3515905,2747
PE,Flores,2605608,20776
RS,Flores da Cunha,4308201,32015
GO,Flores de Goiás,5207907,14273
PI,Flores do Piauí,2203800,4512
PE,Floresta,2605707,31702
PR,Floresta,4107900,11522
BA,Floresta Azul,2911006,11455
PA,Floresta do Araguaia,1503044,18595
PI,Floresta do Piauí,2203859,2354
MG,Florestal,3126000,8469
PR,Florestópolis,4108007,11653
PI,Floriano,2203909,64393
RS,Floriano Peixoto,4308250,1690
SC,Florianópolis,4205407,587486
PR,Flórida,4108106,2711
SP,Flórida Paulista,3516002,13175
SP,Florínea,3516101,4022
AM,Fonte Boa,1301605,28227
RS,Fontoura Xavier,4308300,9710
MG,Formiga,3126109,70897
RS,Formigueiro,4308409,6527
GO,Formosa,5208004,121559
MA,Formosa da Serra Negra,2104099,18150
PR,Formosa do Oeste,4108205,7763
BA,Formosa do Rio Preto,2911105,27567
SC,Formosa do Sul,4205431,2752
GO,Formoso,5208103,4662
MG,Formoso,3126208,8095
TO,Formoso do Araguaia,1708205,19473
RS,Forquetinha,4308433,2441
CE,Forquilha,2304350,25298
SC,Forquilhinha,4205456,34771
CE,Fortaleza,2304400,2578483
MG,Fortaleza de Minas,3126307,3453
MA,Fortaleza dos Nogueiras,2104107,12963
RS,Fortaleza dos Valos,4308458,4569
CE,Fortim,2304459,18213
MA,Fortuna,2104206,17347
MG,Fortuna de Minas,3126406,3230
PR,Foz do Iguaçu,4108304,297352
PR,Foz do Jordão,4108452,4893
SC,Fraiburgo,4205506,34065
SP,Franca,3516200,365494
PI,Francinópolis,2204006,4481
PR,Francisco Alves,4108320,8573
PI,Francisco Ayres,2204105,4548
MG,Francisco Badaró,3126505,7053
PR,Francisco Beltrão,4108403,102312
RN,Francisco Dantas,2403905,2758
MG,Francisco Dumont,3126604,4547
PI,Francisco Macedo,2204154,2985
SP,Francisco Morato,3516309,171476
MG,Francisco Sá,3126703,23753
PI,Francisco Santos,2204204,8349
MG,Franciscópolis,3126752,5023
SP,Franco da Rocha,3516408,150241
CE,Frecheirinha,2304509,16516
RS,Frederico Westphalen,4308508,33726
MG,Frei Gaspar,3126802,5731
MG,Frei Inocêncio,3126901,8301
MG,Frei Lagonegro,3126950,3481
PB,Frei Martinho,2506202,2911
PE,Frei Miguelinho,2605806,14055
SE,Frei Paulo,2802304,14921
SC,Frei Rogério,4205555,2437
MG,Fronteira,3127008,14946
MG,Fronteira dos Vales,3127057,4389
PI,Fronteiras,2204303,10344
MG,Fruta de Leite,3127073,4538
MG,Frutal,3127107,61275
RN,Frutuoso Gomes,2404002,4230
ES,Fundão,3202207,18898
MG,Funilândia,3127206,4934
SP,Gabriel Monteiro,3516507,2813
PB,Gado Bravo,2506251,8398
SP,Gália,3516606,6413
MG,Galiléia,3127305,6244
RN,Galinhos,2404101,2159
SC,Galvão,4205605,3168
PE,Gameleira,2605905,17583
GO,Gameleira de Goiás,5208152,3563
MG,Gameleiras,3127339,4847
BA,Gandu,2911204,34051
PE,Garanhuns,2606002,151803
SE,Gararu,2802403,11294
SP,Garça,3516705,43081
RS,Garibaldi,4308607,35563
SC,Garopaba,4205704,34070
PA,Garrafão do Norte,1503077,25558
RS,Garruchos,4308656,2724
SC,Garuva,4205803,19970
SC,Gaspar,4205902,78344
SP,Gastão Vidigal,3516804,3203
MT,Gaúcha do Norte,5103858,9397
RS,Gaurama,4308706,5779
BA,Gavião,2911253,4489
SP,Gavião Peixoto,3516853,4806
PI,Geminiano,2204352,5604
RS,General Câmara,4308805,7743
MT,General Carneiro,5103908,6319
PR,General Carneiro,4108502,10691
SE,General Maynard,2802502,3118
SP,General Salgado,3516903,10437
CE,General Sampaio,2304608,6929
RS,Gentil,4308854,1784
BA,Gentio do Ouro,2911303,11276
SP,Getulina,3517000,10337
RS,Getúlio Vargas,4308904,16955
PI,Gilbués,2204402,11193
AL,Girau do Ponciano,2702900,37337
RS,Giruá,4309001,16273
MG,Glaucilândia,3127354,2991
SP,Glicério,3517109,4158
BA,Glória,2911402,16107
MS,Glória de Dourados,5004007,10817
PE,Glória do Goitá,2606101,30420
MT,Glória D'Oeste,5103957,2878
RS,Glorinha,4309050,7851
MA,Godofredo Viana,2104305,10424
PR,Godoy Moreira,4108551,2911
MG,Goiabeira,3127370,2859
PE,Goiana,2606200,85497
MG,Goianá,3127388,4214
GO,Goianápolis,5208400,14758
GO,Goiandira,5208509,4962
GO,Goianésia,5208608,78009
PA,Goianésia do Pará,1503093,26703
GO,Goiânia,5208707,1503256
RN,Goianinha,2404200,28422
GO,Goianira,5208806,81495
TO,Goianorte,1708304,4832
GO,Goiás,5208905,24172
TO,Goiatins,1709005,12851
GO,Goiatuba,5209101,36984
PR,Goioerê,4108601,28931
PR,Goioxim,4108650,6469
MG,Gonçalves,3127404,4922
MA,Gonçalves Dias,2104404,17580
BA,Gongogi,2911501,5479
MG,Gonzaga,3127503,5235
MG,Gouveia,3127602,11536
GO,Gouvelândia,5209150,4313
MA,Governador Archer,2104503,10476
SC,Governador Celso Ramos,4206009,18280
RN,Governador Dix-Sept Rosado,2404309,12231
MA,Governador Edison Lobão,2104552,18963
MA,Governador Eugênio Barros,2104602,14264
RO,Governador Jorge Teixeira,1101005,8340
ES,Governador Lindenberg,3202256,11484
MA,Governador Luiz Rocha,2104628,7216
BA,Governador Mangabeira,2911600,21353
MA,Governador Newton Bello,2104651,10993
MA,Governador Nunes Freire,2104677,23526
MG,Governador Valadares,3127701,266561
CE,Graça,2304657,14176
MA,Graça Aranha,2104701,6160
SE,Graccho Cardoso,2802601,5910
MA,Grajaú,2104800,76837
RS,Gramado,4309100,41705
RS,Gramado dos Loureiros,4309126,2047
RS,Gramado Xavier,4309159,3350
PR,Grandes Rios,4108700,5527
PE,Granito,2606309,7217
CE,Granja,2304707,55809
CE,Granjeiro,2304806,4955
MG,Grão Mogol,3127800,14037
SC,Grão-Pará,4206108,6403
PE,Gravatá,2606408,92429
RS,Gravataí,4309209,275430
SC,Gravatal,4206207,13158
CE,Groaíras,2304905,11369
RN,Grossos,2404408,10281
MG,Grupiara,3127909,1428
RS,Guabiju,4309258,1441
SC,Guabiruba,4206306,26645
ES,Guaçuí,3202306,31418
PI,Guadalupe,2204501,10480
RS,Guaíba,4309308,95946
SP,Guaiçara,3517208,11478
SP,Guaimbê,3517307,5609
SP,Guaíra,3517406,40489
PR,Guaíra,4108809,33058
PR,Guairaçá,4108908,6762
CE,Guaiúba,2304954,25158
AM,Guajará,1301654,14344
RO,Guajará-Mirim,1100106,43594
BA,Guajeru,2911659,8177
RN,Guamaré,2404507,16076
PR,Guamiranga,4108957,7916
BA,Guanambi,2911709,93488
MG,Guanhães,3128006,33517
MG,Guapé,3128105,14076
SP,Guapiaçu,3517505,22445
SP,Guapiara,3517604,17225
RJ,Guapimirim,3301850,54311
PR,Guapirama,4109005,4857
GO,Guapó,5209200,20985
RS,Guaporé,4309407,26168
PR,Guaporema,4109104,2210
SP,Guará,3517703,18748
PB,Guarabira,2506301,60057
SP,Guaraçaí,3517802,7453
SP,Guaraci,3517901,10554
PR,Guaraci,4109203,4743
SC,Guaraciaba,4206405,11071
MG,Guaraciaba,3128204,9901
CE,Guaraciaba do Norte,2305001,44565
MG,Guaraciama,3128253,5224
TO,Guaraí,1709302,25831
GO,Guaraíta,5209291,2170
CE,Guaramiranga,2305100,5826
SC,Guaramirim,4206504,51009
MG,Guaranésia,3128303,19646
MG,Guarani,3128402,7731
RS,Guarani das Missões,4309506,7547
GO,Guarani de Goiás,5209408,4091
SP,Guarani d'Oeste,3518008,1999
PR,Guaraniaçu,4109302,13770
SP,Guarantã,3518107,6532
MT,Guarantã do Norte,5104104,31209
ES,Guarapari,3202405,136311
PR,Guarapuava,4109401,189630
PR,Guaraqueçaba,4109500,7446
MG,Guarará,3128501,3091
SP,Guararapes,3518206,31888
SP,Guararema,3518305,32620
BA,Guaratinga,2911808,19413
SP,Guaratinguetá,3518404,121916
PR,Guaratuba,4109609,44913
MG,Guarda-Mor,3128600,6687
SP,Guareí,3518503,15285
SP,Guariba,3518602,38678
PI,Guaribas,2204550,4344
GO,Guarinos,5209457,2154
SP,Guarujá,3518701,294871
SC,Guarujá do Sul,4206603,4893
SP,Guarulhos,3518800,1349100
SC,Guatambú,4206652,9611
SP,Guatapará,3518859,7474
MG,Guaxupé,3128709,52744
MS,Guia Lopes da Laguna,5004106,10116
MG,Guidoval,3128808,7285
MA,Guimarães,2104909,10439
MG,Guimarânia,3128907,8880
MT,Guiratinga,5104203,10252
MG,Guiricema,3129004,7803
MG,Gurinhatã,3129103,5154
PB,Gurinhém,2506400,14141
PB,Gurjão,2506509,3352
PA,Gurupá,1503101,34137
TO,Gurupi,1709500,90209
SP,Guzolândia,3518909,4259
RS,Harmonia,4309555,5535
GO,Heitoraí,5209606,3342
MG,Heliodora,3129202,6278
BA,Heliópolis,2911857,13055
SP,Herculândia,3519006,9316
RS,Herval,4307104,6302
SC,Herval d'Oeste,4206702,22222
RS,Herveiras,4309571,2604
GO,Hidrolândia,5209705,30587
CE,Hidrolândia,2305209,18186
GO,Hidrolina,5209804,3477
SP,Holambra,3519055,15718
PR,Honório Serpa,4109658,4803
CE,Horizonte,2305233,81161
RS,Horizontina,4309605,19252
SP,Hortolândia,3519071,248842
PI,Hugo Napoleão,2204600,3550
RS,Hulha Negra,4309654,6102
RS,Humaitá,4309704,4772
AM,Humaitá,1301704,63454
MA,Humberto de Campos,2105005,26550
SP,Iacanga,3519105,10648
GO,Iaciara,5209903,10289
SP,Iacri,3519204,6197
BA,Iaçu,2911907,25315
MG,Iapu,3129301,12583
SP,Iaras,3519253,8313
PE,Iati,2606507,17570
PR,Ibaiti,4109708,29464
RS,Ibarama,4309753,3787
CE,Ibaretama,2305266,12149
SP,Ibaté,3519303,33160
AL,Ibateguara,2703007,13982
ES,Ibatiba,3202454,27543
PR,Ibema,4109757,6343
MG,Ibertioga,3129400,5346
MG,Ibiá,3129509,22554
RS,Ibiaçá,4309803,4617
MG,Ibiaí,3129608,6172
SC,Ibiam,4206751,2061
CE,Ibiapina,2305308,24689
PB,Ibiara,2506608,5713
BA,Ibiassucê,2912004,10746
BA,Ibicaraí,2912103,22131
SC,Ibicaré,4206801,3295
BA,Ibicoara,2912202,21827
BA,Ibicuí,2912301,14264
CE,Ibicuitinga,2305332,12008
PE,Ibimirim,2606606,28825
BA,Ibipeba,2912400,17134
BA,Ibipitanga,2912509,14317
PR,Ibiporã,4109807,53276
BA,Ibiquera,2912608,3833
SP,Ibirá,3519402,11952
MG,Ibiracatu,3129657,5113
MG,Ibiraci,3129707,10996
ES,Ibiraçu,3202504,12304
RS,Ibiraiaras,4309902,6827
PE,Ibirajuba,2606705,7334
SC,Ibirama,4206900,20900
BA,Ibirapitanga,2912707,26917
BA,Ibirapuã,2912806,9297
RS,Ibirapuitã,4309951,3789
SP,Ibirarema,3519501,6450
BA,Ibirataia,2912905,19377
MG,Ibirité,3129806,179582
RS,Ibirubá,4310009,22106
BA,Ibitiara,2913002,15049
SP,Ibitinga,3519600,62143
ES,Ibitirama,3202553,10015
BA,Ibititá,2913101,17517
MG,Ibitiúra de Minas,3129905,3440
MG,Ibituruna,3130002,2733
SP,Ibiúna,3519709,77801
BA,Ibotirama,2913200,27723
CE,Icapuí,2305357,22562
SC,Içara,4207007,63489
MG,Icaraí de Minas,3130051,10914
PR,Icaraíma,4109906,9149
MA,Icatu,2105104,25332
SP,Icém,3519808,7982
BA,Ichu,2913309,6428
CE,Icó,2305407,64745
ES,Iconha,3202603,12790
RN,Ielmo Marinho,2404606,11889
SP,Iepê,3519907,7739
AL,Igaci,2703106,24445
BA,Igaporã,2913408,16069
SP,Igaraçu do Tietê,3520004,23421
PB,Igaracy,2502607,5719
SP,Igarapava,3520103,26696
MG,Igarapé,3130101,49120
MA,Igarapé do Meio,2105153,14383
MA,Igarapé Grande,2105203,10461
PA,Igarapé-Açu,1503200,37925
PA,Igarapé-Miri,1503309,69446
PE,Igarassu,2606804,123017
SP,Igaratá,3520202,10984
MG,Igaratinga,3130200,11345
BA,Igrapiúna,2913457,13501
AL,Igreja Nova,2703205,22113
RS,Igrejinha,4310108,34776
RJ,Iguaba Grande,3301876,29616
BA,Iguaí,2913507,21763
SP,Iguape,3520301,29891
PR,Iguaraçu,4110003,5693
PE,Iguaracy,2606903,11347
MG,Iguatama,3130309,6782
MS,Iguatemi,5004304,13960
PR,Iguatu,4110052,2156
CE,Iguatu,2305506,102588
MG,Ijaci,3130408,7358
RS,Ijuí,4310207,87848
SP,Ilha Comprida,3520426,14104
SE,Ilha das Flores,2802700,8499
PE,Ilha de Itamaracá,2607604,25658
PI,Ilha Grande,2204659,9522
SP,Ilha Solteira,3520442,26257
SP,Ilhabela,3520400,36559
BA,Ilhéus,2913606,189149
SC,Ilhota,4207106,18627
MG,Ilicínea,3130507,13248
RS,Ilópolis,4310306,4245
PB,Imaculada,2506707,10497
SC,Imaruí,4207205,12150
PR,Imbaú,4110078,15068
RS,Imbé,4310330,28027
MG,Imbé de Minas,3130556,7244
SC,Imbituba,4207304,57256
PR,Imbituva,4110102,30849
SC,Imbuia,4207403,6166
RS,Imigrante,4310363,3149
MA,Imperatriz,2105302,285806
PR,Inácio Martins,4110201,9555
GO,Inaciolândia,5209937,6076
PR,Inajá,4110300,2481
PE,Inajá,2607000,27758
MG,Inconfidentes,3130606,7537
MG,Indaiabira,3130655,6328
SC,Indaial,4207502,77888
SP,Indaiatuba,3520509,269657
RS,Independência,4310405,6557
CE,Independência,2305605,24463
SP,Indiana,3520608,5200
PR,Indianópolis,4110409,4544
MG,Indianópolis,3130705,6311
SP,Indiaporã,3520707,4113
GO,Indiara,5209952,17985
SE,Indiaroba,2802809,16991
MT,Indiavaí,5104500,2172
PB,Ingá,2506806,18234
MG,Ingaí,3130804,2632
PE,Ingazeira,2607109,4975
RS,Inhacorá,4310413,2047
BA,Inhambupe,2913705,35390
PA,Inhangapi,1503408,10784
AL,Inhapi,2703304,15396
MG,Inhapim,3130903,22925
MG,Inhaúma,3131000,6465
PI,Inhuma,2204709,15268
GO,Inhumas,5210000,53884
MG,Inimutaba,3131109,7615
MS,Inocência,5004403,8764
SP,Inúbia Paulista,3520806,3671
SC,Iomerê,4207577,2967
MG,Ipaba,3131158,17587
GO,Ipameri,5210109,26223
MG,Ipanema,3131208,20181
RN,Ipanguaçu,2404705,14560
CE,Ipaporanga,2305654,11963
MG,Ipatinga,3131307,235311
CE,Ipaumirim,2305704,12459
SP,Ipaussu,3520905,13935
RS,Ipê,4310439,5490
BA,Ipecaetá,2913804,14016
SP,Iperó,3521002,38277
SP,Ipeúna,3521101,7027
MG,Ipiaçu,3131406,3807
BA,Ipiaú,2913903,42429
SP,Ipiguá,3521150,7115
SC,Ipira,4207601,4622
BA,Ipirá,2914000,59222
PR,Ipiranga,4110508,14317
GO,Ipiranga de Goiás,5210158,2968
MT,Ipiranga do Norte,5104526,8658
PI,Ipiranga do Piauí,2204808,9627
RS,Ipiranga do Sul,4310462,1748
AM,Ipixuna,1301803,25629
PA,Ipixuna do Pará,1503457,29264
PE,Ipojuca,2607208,106539
GO,Iporá,5210208,37283
PR,Iporã,4110607,16102
SC,Iporã do Oeste,4207650,9759
SP,Iporanga,3521200,4083
CE,Ipu,2305803,43084
SP,Ipuã,3521309,14701
SC,Ipuaçu,4207684,8133
PE,Ipubi,2607307,30720
RN,Ipueira,2404804,2090
CE,Ipueiras,2305902,38287
TO,Ipueiras,1709807,1626
MG,Ipuiúna,3131505,9283
SC,Ipumirim,4207700,8121
BA,Ipupiara,2914109,10349
RR,Iracema,1400282,10937
CE,Iracema,2306009,14440
PR,Iracema do Oeste,4110656,2328
SP,Iracemápolis,3521408,22500
SC,Iraceminha,4207759,3981
RS,Iraí,4310504,7619
MG,Iraí de Minas,3131604,7467
BA,Irajuba,2914208,6232
BA,Iramaia,2914307,11038
AM,Iranduba,1301852,68862
SC,Irani,4207809,10560
SP,Irapuã,3521507,6932
SP,Irapuru,3521606,7120
BA,Iraquara,2914406,24833
BA,Irará,2914505,29572
PR,Irati,4110706,61004
SC,Irati,4207858,2098
CE,Irauçuba,2306108,24867
BA,Irecê,2914604,78781
PR,Iretama,4110805,10832
SC,Irineópolis,4207908,10427
PA,Irituia,1503507,32740
ES,Irupi,3202652,14647
PI,Isaías Coelho,2204907,7867
GO,Israelândia,5210307,2515
SC,Itá,4208005,7370
RS,Itaara,4310538,5712
PB,Itabaiana,2506905,23558
SE,Itabaiana,2802908,109250
SE,Itabaianinha,2803005,42230
BA,Itabela,2914653,29588
SP,Itaberá,3521705,18263
BA,Itaberaba,2914703,68425
GO,Itaberaí,5210406,47603
SE,Itabi,2803104,4816
MG,Itabira,3131703,118053
MG,Itabirinha,3131802,10548
MG,Itabirito,3131901,56369
RJ,Itaboraí,3301900,240127
BA,Itabuna,2914802,196344
TO,Itacajá,1710508,6959
MG,Itacambira,3132008,4227
MG,Itacarambi,3132107,17502
BA,Itacaré,2914901,29496
AM,Itacoatiara,1301902,113917
PE,Itacuruba,2607406,4491
RS,Itacurubi,4310553,3038
BA,Itaeté,2915007,13775
BA,Itagi,2915106,14347
BA,Itagibá,2915205,15796
BA,Itagimirim,2915304,6490
ES,Itaguaçu,3202702,14042
BA,Itaguaçu da Bahia,2915353,12669
RJ,Itaguaí,3302007,124021
PR,Itaguajé,4110904,4530
MG,Itaguara,3132206,14415
GO,Itaguari,5210562,5120
GO,Itaguaru,5210604,4837
TO,Itaguatins,1710706,5160
SP,Itaí,3521804,25979
PE,Itaíba,2607505,33995
CE,Itaiçaba,2306207,7801
PI,Itainópolis,2205003,10969
SC,Itaiópolis,4208104,22906
MA,Itaipava do Grajaú,2105351,14142
MG,Itaipé,3132305,10482
PR,Itaipulândia,4110953,12116
CE,Itaitinga,2306256,72512
PA,Itaituba,1503606,135369
RN,Itajá,2404853,7551
GO,Itajá,5210802,4276
SC,Itajaí,4208203,294850
SP,Itajobi,3521903,17502
SP,Itaju,3522000,3715
BA,Itaju do Colônia,2915403,6118
MG,Itajubá,3132404,96855
BA,Itajuípe,2915502,19191
RJ,Italva,3302056,14518
BA,Itamaraju,2915601,61999
MG,Itamarandiba,3132503,34210
AM,Itamarati,1301951,11956
MG,Itamarati de Minas,3132602,3710
BA,Itamari,2915700,7187
MG,Itambacuri,3132701,21210
PR,Itambaracá,4111001,5819
PR,Itambé,4111100,6228
PE,Itambé,2607653,36652
BA,Itambé,2915809,25088
MG,Itambé do Mato Dentro,3132800,2168
MG,Itamogi,3132909,11092
MG,Itamonte,3133006,15245
BA,Itanagra,2915908,6078
SP,Itanhaém,3522109,118495
MG,Itanhandu,3133105,15751
MT,Itanhangá,5104542,8257
BA,Itanhém,2916005,18203
MG,Itanhomi,3133204,11264
MG,Itaobim,3133303,19263
SP,Itaoca,3522158,3497
RJ,Itaocara,3302106,23645
GO,Itapaci,5210901,21891
MG,Itapagipe,3133402,14014
CE,Itapajé,2306306,49073
BA,Itaparica,2916104,20353
BA,Itapé,2916203,10649
BA,Itapebi,2916302,9464
MG,Itapecerica,3133501,21456
SP,Itapecerica da Serra,3522208,163003
MA,Itapecuru Mirim,2105401,62264
PR,Itapejara d'Oeste,4111209,12869
SC,Itapema,4208302,86116
ES,Itapemirim,3202801,44020
PR,Itaperuçu,4111258,33310
RJ,Itaperuna,3302205,107297
PE,Itapetim,2607703,14236
BA,Itapetinga,2916401,68724
SP,Itapetininga,3522307,164256
SP,Itapeva,3522406,92393
MG,Itapeva,3133600,13561
SP,Itapevi,3522505,242995
BA,Itapicuru,2916500,33284
CE,Itapipoca,2306405,138978
SP,Itapira,3522604,74038
SC,Itapiranga,4208401,17268
AM,Itapiranga,1302009,10955
GO,Itapirapuã,5211008,8133
SP,Itapirapuã Paulista,3522653,4420
TO,Itapiratins,1710904,3685
PE,Itapissuma,2607752,29669
BA,Itapitanga,2916609,10640
CE,Itapiúna,2306504,18197
SC,Itapoá,4208450,36033
SP,Itápolis,3522703,40445
MS,Itaporã,5004502,25263
